Average Domestic Airline Itinerary Fares By Origin City for 2015 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,398.622994139244,403.651954887383,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,359.189880535597,363.721359745026,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,390.236174324763,395.15932836263,882705
4,SFO,San Francisco International,San Francisco,CA,427.077475453519,432.465413159189,849891
5,DEN,Denver International,Denver,CO,326.647057320967,330.767981738058,845114
6,BOS,Logan International,Boston,MA,377.742413783472,382.507948636589,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,367.00008765917,371.63009913,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,383.248121566729,388.083115504595,727241
9,LGA,LaGuardia,New York-La Guardia,NY,369.479123042259,374.140409607146,690156
10,EWR,Newark Liberty International,Newark,NJ,472.142818920786,478.099293431232,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,430.52085826968,435.952237114667,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,349.171266616021,353.576352674796,624904
13,LAS,McCarran International,Las Vegas,NV,248.477704827691,251.612457821718,602399
14,MCO,Orlando International,Orlando,FL,291.159803800003,294.833026986507,600371
15,PHL,Philadelphia International,Philadelphia,PA,399.073086193952,404.107725227863,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,429.147568581087,434.561622233997,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,358.862663837637,363.390014936158,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,416.227372682185,421.478427313491,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,331.120814537407,335.298179124205,489506
20,SAN,San Diego International,San Diego,CA,365.836312968917,370.451642453704,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,269.443295104436,272.842546464372,471064
22,PDX,Portland International,Portland,OR,359.708895916908,364.246922937222,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,445.140033469104,450.75584537322,418532
24,TPA,Tampa International,Tampa,FL,319.515931832478,323.546891168028,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,306.830407293694,310.701328182107,379283
26,MIA,Miami International,Miami,FL,359.772075922677,364.310900011333,324144
