Average Domestic Airline Itinerary Fares By Origin City for 1998 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,321.309494583547,473.083675178746,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,380.408356693073,560.098554467933,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,325.938490927626,479.899230398129,882705
4,SFO,San Francisco International,San Francisco,CA,389.143602450606,572.95999254003,849891
5,DEN,Denver International,Denver,CO,382.249736228061,562.809730491349,845114
6,BOS,Logan International,Boston,MA,386.819711751882,569.538385737246,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,301.864972288398,444.454312447319,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,408.613805136332,601.627166085514,727241
9,LGA,LaGuardia,New York-La Guardia,NY,369.874148693312,544.588393954053,690156
10,EWR,Newark Liberty International,Newark,NJ,398.383756697758,586.564838348046,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,418.046226364356,615.515098361437,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,230.054261552831,338.722998792825,624904
13,LAS,McCarran International,Las Vegas,NV,162.723475617577,239.587753181086,602399
14,MCO,Orlando International,Orlando,FL,249.101020106644,366.766709572549,600371
15,PHL,Philadelphia International,Philadelphia,PA,421.31200325831,620.323501976488,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,442.697584512884,651.810804861393,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,354.752954614072,522.324532509903,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,307.491905115849,452.739190755831,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,264.890345072964,390.014301099029,489506
20,SAN,San Diego International,San Diego,CA,267.146980646782,393.336884056575,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,245.705587064501,361.76740525855,471064
22,PDX,Portland International,Portland,OR,281.78531383613,414.889799798089,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,355.7323746395,523.766592682365,418532
24,TPA,Tampa International,Tampa,FL,259.761765165438,382.463178359114,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,175.33964225327,258.163309083713,379283
26,MIA,Miami International,Miami,FL,334.824830631503,492.983133354204,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,458.286471282367,674.763278937551,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,182.382033192728,268.532253182306,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,249.215661373808,366.935502941282,320755
30,AUS,Austin - Bergstrom International,Austin,TX,265.526850144551,390.951466553559,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,108.553468179673,159.829928917601,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,298.340064095851,439.26437392851,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,377.935971664056,556.458310355319,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,252.073673903629,371.143530074333,282736
35,MCI,Kansas City International,Kansas City,MO,239.659206700345,352.864948616517,280759
36,SMF,Sacramento International,Sacramento,CA,229.596362702597,338.048806232129,279633
37,BNA,Nashville International,Nashville,TN,254.804350403035,375.164072560131,267295
