Average Domestic Airline Itinerary Fares By Origin City for 1996 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,288.901911997158,442.069042671472,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,343.183160260987,525.128581077156,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,297.383050683767,455.046626772717,882705
4,SFO,San Francisco International,San Francisco,CA,349.766637642012,535.202420752221,849891
5,DEN,Denver International,Denver,CO,341.698456349644,522.856731672627,845114
6,BOS,Logan International,Boston,MA,359.51590666771,550.120459871945,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,259.379410589704,396.894596285015,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,386.699975872698,591.716707422853,727241
9,LGA,LaGuardia,New York-La Guardia,NY,352.115303027647,538.796278097801,690156
10,EWR,Newark Liberty International,Newark,NJ,363.276014123352,555.874063549286,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,365.060533821129,558.604682079884,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,184.778853059816,282.743060139004,624904
13,LAS,McCarran International,Las Vegas,NV,131.434536299437,201.117186224897,602399
14,MCO,Orlando International,Orlando,FL,245.277884286891,375.316863587448,600371
15,PHL,Philadelphia International,Philadelphia,PA,371.255906802309,568.084656040078,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,420.222873962317,643.012440855718,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,338.45360757727,517.89156138178,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,303.640283220362,464.621256369673,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,261.340910129151,399.896024062388,489506
20,SAN,San Diego International,San Diego,CA,231.438229627319,354.139839025834,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,237.68733212384,363.702028279258,471064
22,PDX,Portland International,Portland,OR,235.429994934594,360.247918601209,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,341.827462558212,523.054133104574,418532
24,TPA,Tampa International,Tampa,FL,240.505491490663,368.014291236519,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,129.801669271603,198.61862206236,379283
26,MIA,Miami International,Miami,FL,284.23755829742,434.931788506313,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,418.489046481583,640.359390035573,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,150.811678814174,230.76750865434,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,188.082713330289,287.798528054712,320755
30,AUS,Austin - Bergstrom International,Austin,TX,201.490095087163,308.314101582832,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,74.4760074703399,113.960953379673,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,247.747488600741,379.095778054485,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,339.880360888973,520.074736516458,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,225.193106345702,344.583738647734,282736
35,MCI,Kansas City International,Kansas City,MO,201.996751624188,309.08937222309,280759
36,SMF,Sacramento International,Sacramento,CA,205.04224822595,313.749499800278,279633
37,BNA,Nashville International,Nashville,TN,224.333165779788,343.267883380112,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,309.391249852889,473.421213061209,252982
39,HNL,Honolulu International,Honolulu,HI,115.003391414611,175.974741029508,243804
40,IND,Indianapolis International,Indianapolis,IN,249.905433938263,382.39780130141,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,408.636552427825,625.283399073236,237594
42,HOU,William P Hobby,Houston-Hobby,TX,120.542741792512,184.45088887378,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,293.351698371113,448.877972348775,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,189.370619097587,289.769242840448,220020
45,PIT,Pittsburgh International,Pittsburgh,PA,370.192671126856,566.457724691883,219814
46,CMH,Port Columbus International,Columbus,OH,251.19636473223,384.373144892247,200376
47,MKE,General Mitchell International,Milwaukee,WI,319.201605803717,488.432725562003,196680
48,SAT,San Antonio International,San Antonio,TX,184.559113559798,282.406821345225,194783
49,BDL,Bradley International,Hartford,CT,381.434943221646,583.660312338463,187633
50,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,415.298902787665,635.477927815383,167274
51,SJU,Luis Munoz Marin International,San Juan,PR,271.910388941098,416.069123602067,166585
52,RSW,Southwest Florida International,Fort Myers,FL,256.925455265242,393.139627432285,152799
53,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,278.162923536285,425.636564549954,139969
54,BUF,Buffalo Niagara International,Buffalo,NY,349.522876716518,534.829425093491,135260
55,JAX,Jacksonville International,Jacksonville,FL,301.240381091975,460.948998096728,135131
56,BUR,Bob Hope,Burbank,CA,136.273596762337,208.521771440257,125252
57,ONT,Ontario International,Ontario,CA,202.188903073139,309.383396608386,124015
58,OMA,Eppley Airfield,Omaha,NE,222.677998952331,340.735196732878,120853
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,162.542009496851,248.71690891709,114670
60,PVD,Theodore Francis Green State,Providence,RI,342.657994963802,524.324988887109,109047
61,MEM,Memphis International,Memphis,TN,342.81096383215,524.559057262502,106363
62,RIC,Richmond International,Richmond,VA,438.314701842275,670.696013372707,101520
63,OKC,Will Rogers World,Oklahoma City,OK,195.457955761509,299.08390286757,95696
64,ANC,Ted Stevens Anchorage International,Anchorage,AK,327.428763465276,501.021675514638,92654
65,BOI,Boise Air Terminal,Boise,ID,217.573359440347,332.924230420311,87846
66,ORF,Norfolk International,Norfolk,VA,339.027937268283,518.770383453012,87572
67,SDF,Louisville International-Standiford Field,Louisville,KY,223.524644806928,342.030708831901,84451
68,GEG,Spokane International,Spokane,WA,200.038407690198,306.092773058565,83819
69,ALB,Albany International,Albany,NY,408.701494191718,625.382771012988,81817
70,RNO,Reno/Tahoe International,Reno,NV,151.044322571008,231.123493154948,80897
71,CHS,Charleston AFB/International,Charleston,SC,346.883500937447,530.79073142117,80742
72,TUS,Tucson International,Tucson,AZ,235.642041272524,360.572385549048,80325
73,GRR,Gerald R. Ford International,Grand Rapids,MI,368.176904705039,563.373259358366,80027
74,LGB,Long Beach Airport,Long Beach,CA,193.445582163501,296.004629131308,76483
75,ELP,El Paso International,El Paso,TX,152.525241994194,233.389551649181,75930
76,TUL,Tulsa International,Tulsa,OK,196.217343942899,300.245895891578,73392
77,DSM,Des Moines International,Des Moines,IA,320.052378128336,489.734551861718,73146
78,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,242.47809030743,371.03270279522,71115
79,ROC,Greater Rochester International,Rochester,NY,389.651091338555,596.232415816008,71096
80,PIE,St Pete Clearwater International,St. Petersburg,FL,149.515680392692,228.784410731838,69062
81,OGG,Kahului Airport,Kahului,HI,53.1665484687404,81.3538582048351,67841
82,MHT,Manchester-Boston Regional,Manchester,NH,411.759444872783,630.061955448875,61121
83,DAY,James M Cox/Dayton International,Dayton,OH,373.670998088447,571.780156306748,58412
84,SYR,Syracuse Hancock International,Syracuse,NY,378.321872780997,578.896785299293,57879
85,GSP,Greenville-Spartanburg International,Greer,SC,393.98469071526,602.863559634124,51941
86,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,204.743564581733,313.292463044281,51596
87,MSN,Dane County Regional-Truax Field,Madison,WI,375.499869134418,574.578639940424,51374
88,HPN,Westchester County,White Plains,NY,503.204246765964,769.988049224947,48044
89,PWM,Portland International Jetport,Portland,ME,402.942647712128,616.570756815763,47337
90,TYS,McGhee Tyson,Knoxville,TN,408.266459011751,624.717093225649,46608
91,GSO,Piedmont Triad International,Greensboro/High Point,NC,390.835367257656,598.044559315499,44266
92,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,293.668032670252,449.362017607659,44248
93,SAV,Savannah/Hilton Head International,Savannah,GA,309.1850122183,473.105634417041,43637
94,CAK,Akron-Canton Regional,Akron,OH,345.985142348754,529.416090047101,42607
95,ISP,Long Island MacArthur,Islip,NY,287.921300009625,440.568539612963,38122
96,PNS,Pensacola International,Pensacola,FL,335.790787142496,513.816993400319,37574
97,KOA,Kona International Airport at Keahole,Kona,HI,49.4624266437918,75.685922060786,37509
98,FAT,Fresno Yosemite International,Fresno,CA,330.256578947368,505.348713969934,37389
99,LIH,Lihue Airport,Lihue,HI,40.8295854493918,62.4762073311002,35692
100,LEX,Blue Grass,Lexington,KY,361.816381244187,553.640577086411,35528
101,COS,City of Colorado Springs Municipal,Colorado Springs,CO,172.202256861433,263.498729760395,35024
102,MYR,Myrtle Beach International,Myrtle Beach,SC,250.033714075166,382.594091720267,33827
103,MDT,Harrisburg International,Harrisburg,PA,427.3125,653.860774027732,33573
104,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,395.406781440269,605.039600218455,32905
105,BTV,Burlington International,Burlington,VT,409.362604771115,626.394382597397,32753
106,FSD,Joe Foss Field,Sioux Falls,SD,314.968609319869,481.95552127384,31003
107,CAE,Columbia Metropolitan,Columbia,SC,334.169145321007,511.335605711931,30607
108,ACY,Atlantic City International,Atlantic City,NJ,137.878864673087,210.978104261423,30531
109,PSP,Palm Springs International,Palm Springs,CA,340.928695334612,521.678866449622,30372
110,BLI,Bellingham International,Bellingham,WA,256.149920255183,391.952927015232,29414
111,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,442.170525242223,676.596078717868,28142
112,EUG,Mahlon Sweet Field,Eugene,OR,319.562473907079,488.98491511271,27794
113,FNT,Bishop International,Flint,MI,343.75401766324,526.002089956248,26572
114,SGF,Springfield-Branson National,Springfield,MO,362.952672821786,555.379296385403,26295
115,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,355.497675769901,543.971883443539,26041
116,ITO,Hilo International,Hilo,HI,41.6624045858208,63.750562200594,25914
117,CHA,Lovell Field,Chattanooga,TN,420.907508060802,644.060047423653,24855
118,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,278.524245810056,426.189449058601,24663
119,MAF,Midland International Air and Space Port,Midland/Odessa,TX,126.043626430801,192.868177596738,24348
120,LBB,Lubbock Preston Smith International,Lubbock,TX,123.979943470888,189.71039181346,24046
121,FAR,Hector International,Fargo,ND,379.512646750024,580.718871919927,23881
122,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,451.731762155217,691.2263967371,23285
123,ILM,Wilmington International,Wilmington,NC,387.243670886076,592.548653228984,23142
124,FWA,Fort Wayne International,Fort Wayne,IN,365.502140788314,559.280415818962,23107
125,BZN,Bozeman Yellowstone International,Bozeman,MT,409.138314475224,626.051180312235,22809
126,MLI,Quad City International,Moline,IL,365.710980508853,559.599976097024,22808
127,FAI,Fairbanks International,Fairbanks,AK,272.560326924365,417.063639214901,22805
128,BIL,Billings Logan International,Billings,MT,369.715933732327,565.72823542631,22581
129,AVL,Asheville Regional,Asheville,NC,378.680821772742,579.446038282949,22401
130,MFR,Rogue Valley International - Medford,Medford,OR,327.007921837866,500.377716275811,22228
131,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,401.229860365199,613.949900977453,22059
