Average Domestic Airline Itinerary Fares By Origin City for 2008 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,389.385686332995,434.06535138857,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,361.46171651957,402.937274022976,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,351.233267256798,391.535171739206,882705
4,SFO,San Francisco International,San Francisco,CA,407.65080528742,454.426282864429,849891
5,DEN,Denver International,Denver,CO,325.864927153564,363.25596721899,845114
6,BOS,Logan International,Boston,MA,391.304353140845,436.20417367038,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,353.605912683355,394.180063955192,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,406.155724511875,452.759650563939,727241
9,LGA,LaGuardia,New York-La Guardia,NY,348.284889202056,388.248485039418,690156
10,EWR,Newark Liberty International,Newark,NJ,428.987382381549,478.211103824366,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,363.43241356383,405.134096697823,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,305.189618740055,340.208291542741,624904
13,LAS,McCarran International,Las Vegas,NV,257.748282991932,287.323347913247,602399
14,MCO,Orlando International,Orlando,FL,260.031391087038,289.868428927634,600371
15,PHL,Philadelphia International,Philadelphia,PA,341.139161415744,380.282827976617,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,424.750819136523,473.488420433124,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,411.723626415967,458.966435716359,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,334.515320387647,372.898941037988,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,291.508256477643,324.957075264519,489506
20,SAN,San Diego International,San Diego,CA,321.498318303803,358.388316272193,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,259.695010871633,289.493451106094,471064
22,PDX,Portland International,Portland,OR,344.358197590452,383.871229187421,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,422.509465612269,470.989885075409,418532
24,TPA,Tampa International,Tampa,FL,282.507950691276,314.924038532853,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,265.036968128625,295.448365822389,379283
26,MIA,Miami International,Miami,FL,347.466786070554,387.33650949509,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,394.22935280569,439.464799450668,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,261.867289713809,291.9149858775,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,330.101918822248,367.979128192928,320755
30,AUS,Austin - Bergstrom International,Austin,TX,338.757223162196,377.627576637645,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,226.794038599727,252.817290190366,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,323.671750401533,360.81113662829,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,312.386260443712,348.230704588617,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,286.783824425453,319.690543055394,282736
35,MCI,Kansas City International,Kansas City,MO,309.109967267547,344.578476479883,280759
36,SMF,Sacramento International,Sacramento,CA,302.46238458826,337.168123678415,279633
37,BNA,Nashville International,Nashville,TN,313.703953698784,349.699595217781,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,336.083723492151,374.647308963596,252982
39,HNL,Honolulu International,Honolulu,HI,314.946098927667,351.08426913923,243804
40,IND,Indianapolis International,Indianapolis,IN,314.051402997353,350.086912233189,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,432.097234026964,481.677792237969,237594
42,HOU,William P Hobby,Houston-Hobby,TX,265.571182941779,296.043878571644,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,371.317567234553,413.924024317064,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,304.539706228404,339.483805480095,220020
45,PIT,Pittsburgh International,Pittsburgh,PA,313.4420535217,349.407643570905,219814
46,CMH,Port Columbus International,Columbus,OH,324.733414643787,361.994620455625,200376
47,MKE,General Mitchell International,Milwaukee,WI,334.050325716407,372.38059102552,196680
48,SAT,San Antonio International,San Antonio,TX,329.79319508244,367.634980261185,194783
49,BDL,Bradley International,Hartford,CT,384.738395949298,428.88481239033,187633
50,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,570.177383823393,635.60180856639,167274
51,SJU,Luis Munoz Marin International,San Juan,PR,313.596215049757,349.579494206908,166585
52,RSW,Southwest Florida International,Fort Myers,FL,272.615302520319,303.896268496083,152799
53,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,287.231336764823,320.189404743578,139969
54,BUF,Buffalo Niagara International,Buffalo,NY,281.226597307222,313.495657556294,135260
55,JAX,Jacksonville International,Jacksonville,FL,306.580914789877,341.759230444575,135131
56,BUR,Bob Hope,Burbank,CA,258.438352755523,288.092599030916,125252
57,ONT,Ontario International,Ontario,CA,297.781704518,331.950363727944,124015
58,OMA,Eppley Airfield,Omaha,NE,333.24675256652,371.484812690787,120853
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,321.766248100577,358.686989401346,114670
60,PVD,Theodore Francis Green State,Providence,RI,322.547146481335,359.557491173598,109047
61,MEM,Memphis International,Memphis,TN,414.022605713061,461.529209057685,106363
62,RIC,Richmond International,Richmond,VA,360.622983603659,402.002301550582,101520
63,OKC,Will Rogers World,Oklahoma City,OK,353.065721934599,393.577889567675,95696
64,ANC,Ted Stevens Anchorage International,Anchorage,AK,531.004775915156,591.93437955372,92654
65,SFB,Orlando Sanford International,Sanford,FL,141.049413368385,157.23398503288,89052
66,BOI,Boise Air Terminal,Boise,ID,311.300695043377,347.020577089095,87846
