Average Domestic Airline Itinerary Fares By Origin City for 2010 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,369.764405300158,406.988621017475,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,355.728775306909,391.540022898825,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,334.757566629329,368.457640770049,882705
4,SFO,San Francisco International,San Francisco,CA,371.94314197637,409.386691309536,849891
5,DEN,Denver International,Denver,CO,295.785960904089,325.56276001462,845114
6,BOS,Logan International,Boston,MA,335.428402021711,369.196009221315,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,343.971514873308,378.599158006948,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,402.983567373239,443.551959104343,727241
9,LGA,LaGuardia,New York-La Guardia,NY,320.822149766721,353.119344246854,690156
10,EWR,Newark Liberty International,Newark,NJ,450.017413904068,495.320707167561,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,355.802912963961,391.621624000436,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,310.751969292844,342.035397804975,624904
13,LAS,McCarran International,Las Vegas,NV,257.977543151807,283.94816546931,602399
14,MCO,Orlando International,Orlando,FL,245.484388251045,270.197323548516,600371
15,PHL,Philadelphia International,Philadelphia,PA,343.788995811757,378.398264735164,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,384.940337865871,423.692316070437,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,371.799506020742,409.228595509422,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,353.751559695124,389.363760814751,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,284.445935173741,313.081132880849,489506
20,SAN,San Diego International,San Diego,CA,322.46270160503,354.925050585297,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,247.047270217139,271.917540981768,471064
22,PDX,Portland International,Portland,OR,350.318600214219,385.585204996194,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,429.154930433374,472.357995621961,418532
24,TPA,Tampa International,Tampa,FL,284.502238663598,313.143104448061,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,271.541497300249,298.877604093715,379283
26,MIA,Miami International,Miami,FL,334.268832349442,367.919705566541,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,362.962358440669,399.501811492929,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,269.168720818202,296.265959991231,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,345.471108058797,380.249715372398,320755
30,AUS,Austin - Bergstrom International,Austin,TX,342.140356894596,376.583657190918,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,254.550946721135,280.17661326982,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,315.49881647081,347.260110512443,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,305.262871307928,335.993711835506,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,290.860506950844,320.141460171848,282736
35,MCI,Kansas City International,Kansas City,MO,305.979162515087,336.782112142485,280759
36,SMF,Sacramento International,Sacramento,CA,311.257924068939,342.592287093582,279633
37,BNA,Nashville International,Nashville,TN,329.246188393807,362.391431595155,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,323.04892332767,355.57028730113,252982
39,HNL,Honolulu International,Honolulu,HI,321.400029053004,353.755398692516,243804
40,IND,Indianapolis International,Indianapolis,IN,309.377947895939,340.523053551285,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,419.376998005384,461.595717862859,237594
42,HOU,William P Hobby,Houston-Hobby,TX,283.669581391371,312.226623493847,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,380.980278388106,419.333597051243,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,308.337007589447,339.377321691137,220020
45,PIT,Pittsburgh International,Pittsburgh,PA,306.583155238218,337.446908867016,219814
46,CMH,Port Columbus International,Columbus,OH,309.50281136488,340.6604870368,200376
47,MKE,General Mitchell International,Milwaukee,WI,258.740184032328,284.78758147541,196680
48,SAT,San Antonio International,San Antonio,TX,325.30808512018,358.056879113131,194783
49,BDL,Bradley International,Hartford,CT,374.631580250275,412.345774904668,187633
50,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,424.097986047124,466.791968192547,167274
51,SJU,Luis Munoz Marin International,San Juan,PR,290.40345758101,319.638399601119,166585
52,RSW,Southwest Florida International,Fort Myers,FL,256.407618516957,282.220196381208,152799
53,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,280.651715831518,308.904949138459,139969
54,BUF,Buffalo Niagara International,Buffalo,NY,277.079455638599,304.973069192763,135260
55,JAX,Jacksonville International,Jacksonville,FL,306.939140500651,337.838731197623,135131
56,BUR,Bob Hope,Burbank,CA,260.170423067237,286.361802801744,125252
57,ONT,Ontario International,Ontario,CA,300.158982952264,330.376014583082,124015
58,OMA,Eppley Airfield,Omaha,NE,330.962242582597,364.280241112447,120853
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,322.752909800175,355.244474065375,114670
60,PVD,Theodore Francis Green State,Providence,RI,325.954887710338,358.768795377828,109047
61,MEM,Memphis International,Memphis,TN,428.288254696687,471.404071561432,106363
62,RIC,Richmond International,Richmond,VA,338.825397156754,372.934980160101,101520
63,OKC,Will Rogers World,Oklahoma City,OK,367.574205118787,404.577933188167,95696
64,ANC,Ted Stevens Anchorage International,Anchorage,AK,547.978881714118,603.143964694191,92654
65,SFB,Orlando Sanford International,Sanford,FL,129.273662726422,142.287653902749,89052
