Average Domestic Airline Itinerary Fares By Origin City for 2000 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,352.985561507508,491.980630032864,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,409.262939351584,570.418342017685,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,339.230510793756,472.8092551829,882705
4,SFO,San Francisco International,San Francisco,CA,451.703738693076,629.571048179242,849891
5,DEN,Denver International,Denver,CO,434.582621525082,605.708151421644,845114
6,BOS,Logan International,Boston,MA,406.261146741426,566.234534007901,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,336.559126833065,469.085960784037,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,441.847836997804,615.834189637852,727241
9,LGA,LaGuardia,New York-La Guardia,NY,361.529212576817,503.888513227601,690156
10,EWR,Newark Liberty International,Newark,NJ,449.518098135209,626.524768285831,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,455.230810230876,634.486974116628,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,267.635858713181,373.022788316787,624904
13,LAS,McCarran International,Las Vegas,NV,222.768198808982,310.487597093963,602399
14,MCO,Orlando International,Orlando,FL,279.277910056798,389.249128370036,600371
15,PHL,Philadelphia International,Philadelphia,PA,424.280573341714,591.349467360357,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,390.047338257158,543.636216730403,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,355.097847358121,494.924670347591,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,331.140098731217,461.533082846688,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,281.65690934796,392.56490583446,489506
20,SAN,San Diego International,San Diego,CA,299.891213189176,417.979328604898,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,257.150051998722,358.40798715679,471064
