Average Domestic Airline Itinerary Fares By Origin City for 1999 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,334.70481796932,482.254570196603,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,393.156293903759,566.473529383213,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,327.933634497514,472.498408947625,882705
4,SFO,San Francisco International,San Francisco,CA,412.014790897172,593.645520564248,849891
5,DEN,Denver International,Denver,CO,413.657791964227,596.012814761661,845114
6,BOS,Logan International,Boston,MA,386.45010471164,556.811014197074,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,316.113050008223,455.466891663407,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,419.07981115581,603.825052274999,727241
9,LGA,LaGuardia,New York-La Guardia,NY,359.607049598899,518.134588549251,690156
10,EWR,Newark Liberty International,Newark,NJ,419.615663731246,604.597127666753,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,408.989096420546,589.285992672703,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,253.316674843168,364.987647597359,624904
13,LAS,McCarran International,Las Vegas,NV,205.397573354481,295.944106984949,602399
14,MCO,Orlando International,Orlando,FL,269.882288778483,388.855971563794,600371
15,PHL,Philadelphia International,Philadelphia,PA,422.281784113293,608.438568452509,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,416.226942666391,599.714538194147,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,349.69305059361,503.850147236956,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,312.096801362426,449.680138200363,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,276.656659488353,398.616725098391,489506
20,SAN,San Diego International,San Diego,CA,281.612258391554,405.756927721197,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,253.011052648211,364.547296301655,471064
22,PDX,Portland International,Portland,OR,290.98991547815,419.268588578621,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,381.515035283857,549.700391170416,418532
24,TPA,Tampa International,Tampa,FL,274.011671248527,394.805732252483,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,210.306584423552,303.017184204358,379283
26,MIA,Miami International,Miami,FL,333.564494502548,480.611551710374,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,468.871317568279,675.566420296142,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,212.317165121397,305.914100168005,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,280.410351365903,404.025177459612,320755
30,AUS,Austin - Bergstrom International,Austin,TX,317.328779861536,457.218558345237,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,158.521278839259,228.403079637325,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,315.09770367371,454.003944660965,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,320.860860593295,462.307705509382,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,268.059368253413,386.229443031417,282736
35,MCI,Kansas City International,Kansas City,MO,267.591783085198,385.555729740716,280759
36,SMF,Sacramento International,Sacramento,CA,247.587837837838,356.733336098368,279633
37,BNA,Nashville International,Nashville,TN,285.350568874441,411.143218023571,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,345.422477895546,497.696954661201,252982
39,HNL,Honolulu International,Honolulu,HI,132.316846744729,190.646804679394,243804
40,IND,Indianapolis International,Indianapolis,IN,295.200650081875,425.335564306223,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,385.025634096911,554.758586424353,237594
42,HOU,William P Hobby,Houston-Hobby,TX,209.680574577887,302.115207020726,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,326.211728475846,470.017425693676,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,263.63640672987,379.856683232282,220020
45,PIT,Pittsburgh International,Pittsburgh,PA,414.09137956783,596.637543155733,219814
46,CMH,Port Columbus International,Columbus,OH,295.822706355344,426.231845042843,200376
47,MKE,General Mitchell International,Milwaukee,WI,349.789885554168,503.989670481846,196680
48,SAT,San Antonio International,San Antonio,TX,282.686903952136,407.30531515128,194783
