Average Domestic Airline Itinerary Fares By Origin City for 2006 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,360.480650952818,429.174187127484,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,330.824831788847,393.867126818822,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,350.750743628182,417.590139396104,882705
4,SFO,San Francisco International,San Francisco,CA,440.751036560069,524.740973867199,849891
5,DEN,Denver International,Denver,CO,324.203040143906,385.983480251291,845114
6,BOS,Logan International,Boston,MA,339.127555403138,403.752025352735,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,353.608520158521,420.992496543869,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,389.364725453129,463.562438374353,727241
9,LGA,LaGuardia,New York-La Guardia,NY,317.436620535684,377.927645278051,690156
10,EWR,Newark Liberty International,Newark,NJ,379.687316326468,452.040892947555,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,326.874654285947,389.16419972874,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,284.349132457313,338.534973958271,624904
13,LAS,McCarran International,Las Vegas,NV,247.006938023886,294.076815388144,602399
14,MCO,Orlando International,Orlando,FL,256.707165649041,305.625527628243,600371
15,PHL,Philadelphia International,Philadelphia,PA,314.97753380039,374.999952632396,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,374.409384668817,445.757193606413,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,350.849510917134,417.707727873706,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,322.828834998921,384.347405265058,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,269.19784185842,320.496438992455,489506
20,SAN,San Diego International,San Diego,CA,317.146069005616,377.581725971687,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,255.714624485464,304.443846875218,471064
22,PDX,Portland International,Portland,OR,333.883776494708,397.508986941233,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,364.594876303539,434.07242317951,418532
24,TPA,Tampa International,Tampa,FL,274.518067014296,326.830491321125,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,221.669848065322,263.911465435517,379283
26,MIA,Miami International,Miami,FL,317.572599626217,378.089536673585,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,367.179823968722,437.149960933727,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,263.733787232385,313.991148912806,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,323.575096928807,385.235875579058,320755
30,AUS,Austin - Bergstrom International,Austin,TX,346.389635058408,412.397973823666,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,185.998403551125,221.442436480487,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,320.231254768924,381.254827672445,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,314.703574664081,374.673787582148,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,284.352152932707,338.538570018332,282736
35,MCI,Kansas City International,Kansas City,MO,289.898330543302,345.141632516694,280759
36,SMF,Sacramento International,Sacramento,CA,289.18920261819,344.297372498785,279633
37,BNA,Nashville International,Nashville,TN,294.794941405155,350.971346208014,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,331.217307899023,394.334393550356,252982
39,HNL,Honolulu International,Honolulu,HI,276.54861243052,329.247979405798,243804
40,IND,Indianapolis International,Indianapolis,IN,308.374511425135,367.13865202446,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,384.088711945746,457.281022708021,237594
42,HOU,William P Hobby,Houston-Hobby,TX,234.277420919393,278.921549380369,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,322.968875295569,384.514131774012,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,296.542117090164,353.051465355604,220020
