Average Domestic Airline Itinerary Fares By Origin City for 2004 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,319.710494410097,406.24447145663,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,320.577070407955,407.345597989484,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,294.349201639642,374.018801179524,882705
4,SFO,San Francisco International,San Francisco,CA,395.823835528429,502.958919602811,849891
5,DEN,Denver International,Denver,CO,325.260658908728,413.296863175594,845114
6,BOS,Logan International,Boston,MA,316.337543223029,401.95858533091,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,316.601658572327,402.294187077975,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,369.48204452508,469.487365961378,727241
9,LGA,LaGuardia,New York-La Guardia,NY,302.186892336657,383.977869055992,690156
10,EWR,Newark Liberty International,Newark,NJ,389.706761010539,495.186175986852,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,278.68332001016,354.112736431123,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,250.326062707442,318.080203228989,624904
13,LAS,McCarran International,Las Vegas,NV,222.732996715331,283.018700069651,602399
14,MCO,Orlando International,Orlando,FL,241.746616226478,307.17861331565,600371
15,PHL,Philadelphia International,Philadelphia,PA,313.557572159557,398.426177433482,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,378.563705059887,481.027100966695,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,328.802984685655,417.797967418763,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,316.398119586998,402.035557508532,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,257.412712057347,327.084950241947,489506
20,SAN,San Diego International,San Diego,CA,292.904649426728,372.183261338052,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,223.96979746856,284.590257704066,471064
22,PDX,Portland International,Portland,OR,304.522866138512,386.94610581726,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,371.851703755216,472.498405568492,418532
24,TPA,Tampa International,Tampa,FL,246.321617983213,312.991901284214,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,214.463332758554,272.510739517891,379283
26,MIA,Miami International,Miami,FL,316.843663980603,402.601694528916,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,417.492389774699,530.492361641513,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,231.798798010647,294.538283317432,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,291.481044736267,370.3743387498,320755
30,AUS,Austin - Bergstrom International,Austin,TX,327.645227452329,416.326847503868,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,169.318613666333,215.146990540816,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,313.325836285661,398.131719105543,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,279.391774771005,355.012944071792,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,254.016050191683,322.768935821215,282736
35,MCI,Kansas City International,Kansas City,MO,271.884376995312,345.473567370917,280759
36,SMF,Sacramento International,Sacramento,CA,259.193886175981,329.348223268789,279633
37,BNA,Nashville International,Nashville,TN,279.598753853073,355.275944846767,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,293.919923515822,373.473333115234,252982
39,HNL,Honolulu International,Honolulu,HI,243.978928459298,310.01513109972,243804
40,IND,Indianapolis International,Indianapolis,IN,277.227634496655,352.26304991041,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,375.14065559121,476.67755678067,237594
42,HOU,William P Hobby,Houston-Hobby,TX,227.11075749957,288.58136112411,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,324.793891638758,412.703759019811,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,268.013939475696,340.555543496338,220020
45,PIT,Pittsburgh International,Pittsburgh,PA,346.500135532088,440.285091919205,219814
46,CMH,Port Columbus International,Columbus,OH,306.73137487836,389.752377370474,200376
47,MKE,General Mitchell International,Milwaukee,WI,299.905241115596,381.078658018024,196680
48,SAT,San Antonio International,San Antonio,TX,314.620983287085,399.777415190756,194783
49,BDL,Bradley International,Hartford,CT,318.967885225688,405.300865034903,187633
50,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,415.570192040561,528.049895046913,167274
51,SJU,Luis Munoz Marin International,San Juan,PR,283.26375589374,359.932929346589,166585
52,RSW,Southwest Florida International,Fort Myers,FL,269.821487125084,342.852328407366,152799
53,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,254.172974025468,322.968333216763,139969
54,BUF,Buffalo Niagara International,Buffalo,NY,256.649924627136,326.115704058797,135260
55,JAX,Jacksonville International,Jacksonville,FL,279.439360572065,355.073409614646,135131
56,BUR,Bob Hope,Burbank,CA,210.860739178899,267.933055174622,125252
57,ONT,Ontario International,Ontario,CA,246.862752698907,313.679501442506,124015
58,OMA,Eppley Airfield,Omaha,NE,301.545113634217,383.162384252324,120853
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,280.298911373158,356.165609486047,114670
60,PVD,Theodore Francis Green State,Providence,RI,277.009175369288,351.985461860333,109047
61,MEM,Memphis International,Memphis,TN,377.741106100827,479.98185445403,106363
62,RIC,Richmond International,Richmond,VA,422.703879153278,537.114411230499,101520
63,OKC,Will Rogers World,Oklahoma City,OK,314.17639213479,399.212489419359,95696
64,ANC,Ted Stevens Anchorage International,Anchorage,AK,431.862983705913,548.752551526352,92654
65,SFB,Orlando Sanford International,Sanford,FL,98.2985957132299,124.904442483602,89052
66,BOI,Boise Air Terminal,Boise,ID,271.900415060777,345.493946356098,87846
67,ORF,Norfolk International,Norfolk,VA,315.337292211187,400.687602830384,87572
68,SDF,Louisville International-Standiford Field,Louisville,KY,296.425699242441,376.657330992837,84451
69,GEG,Spokane International,Spokane,WA,270.08097882959,343.182055057531,83819
70,ALB,Albany International,Albany,NY,313.704985725938,398.6134904789,81817
71,RNO,Reno/Tahoe International,Reno,NV,237.388738429687,301.641216848586,80897
72,CHS,Charleston AFB/International,Charleston,SC,424.311627906977,539.157318967658,80742
73,TUS,Tucson International,Tucson,AZ,290.810968550457,369.522897365486,80325
74,GRR,Gerald R. Ford International,Grand Rapids,MI,342.05840911362,434.641152064948,80027
75,LGB,Long Beach Airport,Long Beach,CA,234.848284415048,298.413154534455,76483
76,ELP,El Paso International,El Paso,TX,267.601310192722,340.031230507242,75930
77,TUL,Tulsa International,Tulsa,OK,305.736275776816,388.487941214572,73392
78,DSM,Des Moines International,Des Moines,IA,342.008801624915,434.578117637297,73146
79,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,312.254258496811,396.770104269411,71115
80,ROC,Greater Rochester International,Rochester,NY,283.070959819365,359.687950402505,71096
81,PIE,St Pete Clearwater International,St. Petersburg,FL,198.648753894081,252.41573061316,69062
82,OGG,Kahului Airport,Kahului,HI,177.271562931339,225.252513278332,67841
83,MHT,Manchester-Boston Regional,Manchester,NH,285.933817684516,363.325679537514,61121
84,DAY,James M Cox/Dayton International,Dayton,OH,290.287181049942,368.857339681198,58412
85,SYR,Syracuse Hancock International,Syracuse,NY,334.140646368675,424.580339555886,57879
86,GSP,Greenville-Spartanburg International,Greer,SC,430.937596981775,547.576696347328,51941
87,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,313.454651101368,398.295399396424,51596
88,MSN,Dane County Regional-Truax Field,Madison,WI,338.119837867663,429.636553147854,51374
89,HPN,Westchester County,White Plains,NY,440.510606605373,559.740770729569,48044
90,PWM,Portland International Jetport,Portland,ME,387.920195714527,492.91605258743,47337
91,TYS,McGhee Tyson,Knoxville,TN,404.806481959154,514.372840995241,46608
92,GSO,Piedmont Triad International,Greensboro/High Point,NC,332.653662752118,422.690883676474,44266
93,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,326.146054855772,414.421903531872,44248
94,SAV,Savannah/Hilton Head International,Savannah,GA,321.989774179804,409.140669177806,43637
95,CAK,Akron-Canton Regional,Akron,OH,252.496210101759,320.837730418749,42607
96,ISP,Long Island MacArthur,Islip,NY,227.625966986943,289.236019039776,38122
97,PNS,Pensacola International,Pensacola,FL,327.170560595184,415.72370563061,37574
98,KOA,Kona International Airport at Keahole,Kona,HI,177.084469948991,225.014781045403,37509
99,FAT,Fresno Yosemite International,Fresno,CA,386.526857791159,491.145588876868,37389
100,LIH,Lihue Airport,Lihue,HI,152.782567974947,194.135240037365,35692
101,LEX,Blue Grass,Lexington,KY,354.836609092714,450.877944999293,35528
102,COS,City of Colorado Springs Municipal,Colorado Springs,CO,374.71078452468,476.131335285692,35024
103,MYR,Myrtle Beach International,Myrtle Beach,SC,255.735877645722,324.954257877507,33827
104,MDT,Harrisburg International,Harrisburg,PA,378.35622692557,480.763466064219,33573
105,XNA,Northwest Arkansas Regional,Fayetteville,AR,415.249381679033,527.6422530144,33454
106,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,377.643534446589,479.857873709582,32905
107,BTV,Burlington International,Burlington,VT,332.032081302367,421.901062785586,32753
108,FSD,Joe Foss Field,Sioux Falls,SD,427.085551703839,542.682042823835,31003
109,CAE,Columbia Metropolitan,Columbia,SC,418.030054333371,531.175552397769,30607
110,ACY,Atlantic City International,Atlantic City,NJ,200.257286367854,254.45963419485,30531
111,PSP,Palm Springs International,Palm Springs,CA,370.754931064054,471.104776488374,30372
112,BLI,Bellingham International,Bellingham,WA,347.519135435257,441.579897952522,29414
113,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,429.212401995723,545.384553963759,28142
114,EUG,Mahlon Sweet Field,Eugene,OR,393.746764282913,500.319660882607,27794
115,FNT,Bishop International,Flint,MI,272.971126979199,346.85446096224,26572
116,SGF,Springfield-Branson National,Springfield,MO,435.541298448264,553.426451990941,26295
117,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,332.290666827445,422.229637986583,26041
118,ITO,Hilo International,Hilo,HI,130.738711807849,166.124915528024,25914
119,CHA,Lovell Field,Chattanooga,TN,421.210378681627,535.216674620865,24855
120,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,332.573812095032,422.589420357158,24663
121,MAF,Midland International Air and Space Port,Midland/Odessa,TX,238.341495488142,302.851850513748,24348
122,LBB,Lubbock Preston Smith International,Lubbock,TX,243.329832449331,309.1903484601,24046
123,FAR,Hector International,Fargo,ND,464.833515605283,590.647004599646,23881
124,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,412.863188128291,524.610203848786,23285
125,ILM,Wilmington International,Wilmington,NC,376.024554797207,477.800695282657,23142
126,FWA,Fort Wayne International,Fort Wayne,IN,369.560579077383,469.587156954321,23107
127,BZN,Bozeman Yellowstone International,Bozeman,MT,435.256920035149,553.065102707295,22809
128,MLI,Quad City International,Moline,IL,297.461642407629,377.973666211603,22808
129,FAI,Fairbanks International,Fairbanks,AK,447.538974572739,568.671461714154,22805
130,BIL,Billings Logan International,Billings,MT,373.67035617116,474.809300901602,22581
131,AVL,Asheville Regional,Asheville,NC,432.884584557841,550.050662490451,22401
132,MFR,Rogue Valley International - Medford,Medford,OR,403.361173209336,512.5363398499,22228
