Average Domestic Airline Itinerary Fares By Origin City for 2007 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,370.006755772813,428.297665900771,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,326.171554544777,377.556661642497,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,357.783679950825,414.148965200019,882705
4,SFO,San Francisco International,San Francisco,CA,428.026358815482,495.457684392223,849891
5,DEN,Denver International,Denver,CO,316.792167901313,366.699645265631,845114
6,BOS,Logan International,Boston,MA,354.640293070482,410.510368761254,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,354.133786507211,409.924067091277,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,364.988400864824,422.488718739079,727241
9,LGA,LaGuardia,New York-La Guardia,NY,320.24279481383,370.693884369289,690156
10,EWR,Newark Liberty International,Newark,NJ,379.979273710259,439.841255549129,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,341.669639463706,395.496316778915,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,283.19403408669,327.80845728889,624904
13,LAS,McCarran International,Las Vegas,NV,244.140581792192,282.602519283339,602399
14,MCO,Orlando International,Orlando,FL,252.997256678106,292.854475827635,600371
15,PHL,Philadelphia International,Philadelphia,PA,313.267268649304,362.61943294892,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,364.653378504409,422.100916914514,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,362.367504432468,419.454925958184,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,307.287077960819,355.697122278753,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,266.482025302306,308.463636570914,489506
20,SAN,San Diego International,San Diego,CA,312.147520130415,361.323279109689,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,253.866034991212,293.860121583782,471064
22,PDX,Portland International,Portland,OR,331.941631356257,384.235757069453,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,379.143792397853,438.874152407296,418532
24,TPA,Tampa International,Tampa,FL,268.740133078819,311.077486926195,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,224.265913670365,259.59679348422,379283
