Average Domestic Airline Itinerary Fares By Origin City for 2009 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,343.060262046313,383.788910489379,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,328.700381016836,367.724202026245,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,314.806416888844,352.180724844559,882705
4,SFO,San Francisco International,San Francisco,CA,340.143642135901,380.526024922127,849891
5,DEN,Denver International,Denver,CO,285.45855451005,319.34863855055,845114
6,BOS,Logan International,Boston,MA,328.503090226109,367.503488565669,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,314.307803128411,351.622914882162,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,365.369928822026,408.747215640081,727241
9,LGA,LaGuardia,New York-La Guardia,NY,303.829818622927,339.900967742329,690156
10,EWR,Newark Liberty International,Newark,NJ,385.012367805111,430.721635561834,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,321.944183748624,360.165898499186,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,279.145174897536,312.285724680726,624904
13,LAS,McCarran International,Las Vegas,NV,235.071932302737,262.980038104561,602399
14,MCO,Orlando International,Orlando,FL,232.821145218287,260.462034073049,600371
15,PHL,Philadelphia International,Philadelphia,PA,306.479043020454,342.864712185081,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,341.87718710181,382.465379045458,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,363.4755322382,406.627913344313,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,313.770110014024,351.021386004066,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,258.516509897032,289.207992453246,489506
20,SAN,San Diego International,San Diego,CA,292.307573596769,327.010783846929,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,235.194569346567,263.117234809176,471064
22,PDX,Portland International,Portland,OR,324.717320123404,363.268265942057,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,382.980333611438,428.448355104882,418532
24,TPA,Tampa International,Tampa,FL,261.583471587945,292.639068611256,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,244.358405620732,273.369015993587,379283
26,MIA,Miami International,Miami,FL,318.982129305049,356.852184340254,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,329.047201576553,368.1121976628,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,242.258126960572,271.019388980831,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,304.80010295058,340.986445736059,320755
30,AUS,Austin - Bergstrom International,Austin,TX,308.105910014403,344.684723361527,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,229.200275867305,256.41128947515,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,291.644695626055,326.269207971454,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,277.138414581721,310.040718655761,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,258.308644585078,288.975449047818,282736
35,MCI,Kansas City International,Kansas City,MO,277.646725230317,310.60937673598,280759
36,SMF,Sacramento International,Sacramento,CA,286.310464393416,320.301688501663,279633
37,BNA,Nashville International,Nashville,TN,293.975109626017,328.876292349866,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,284.955457445544,318.785813019242,252982
39,HNL,Honolulu International,Honolulu,HI,280.466457244569,313.763871725188,243804
40,IND,Indianapolis International,Indianapolis,IN,283.248066241706,316.875717673334,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,394.943619024961,441.831940389118,237594
42,HOU,William P Hobby,Houston-Hobby,TX,260.180891009288,291.069971482532,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,336.669243266057,376.639140008935,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,283.830009292136,317.526749908777,220020
45,PIT,Pittsburgh International,Pittsburgh,PA,279.903597923857,313.134188869569,219814
46,CMH,Port Columbus International,Columbus,OH,282.681716554116,316.242130069047,200376
47,MKE,General Mitchell International,Milwaukee,WI,267.500335947482,299.258392319911,196680
48,SAT,San Antonio International,San Antonio,TX,301.614186169179,337.422291954009,194783
49,BDL,Bradley International,Hartford,CT,345.488191499387,386.505087507324,187633
50,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,385.737123270188,431.532435124144,167274
51,SJU,Luis Munoz Marin International,San Juan,PR,282.61000337952,316.161902994708,166585
52,RSW,Southwest Florida International,Fort Myers,FL,245.782170995039,274.961813009884,152799
53,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,263.290324784249,294.548562076537,139969
54,BUF,Buffalo Niagara International,Buffalo,NY,247.250924947962,276.604939718897,135260
55,JAX,Jacksonville International,Jacksonville,FL,282.037024218958,315.520898856096,135131
56,BUR,Bob Hope,Burbank,CA,239.680385229241,268.135613737702,125252
57,ONT,Ontario International,Ontario,CA,277.674220496852,310.640136283367,124015
58,OMA,Eppley Airfield,Omaha,NE,301.166367081023,336.921307086468,120853
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,294.610857878865,329.587517625129,114670
60,PVD,Theodore Francis Green State,Providence,RI,290.901769530205,325.438080532795,109047
61,MEM,Memphis International,Memphis,TN,385.493912318874,431.26034979002,106363
62,RIC,Richmond International,Richmond,VA,312.360064742379,349.44393796238,101520
63,OKC,Will Rogers World,Oklahoma City,OK,340.445526623821,380.863749606476,95696
64,ANC,Ted Stevens Anchorage International,Anchorage,AK,550.615514569126,615.985445748028,92654
65,SFB,Orlando Sanford International,Sanford,FL,121.57054797845,136.003592715577,89052
66,BOI,Boise Air Terminal,Boise,ID,293.26888316362,328.086221582283,87846
67,ORF,Norfolk International,Norfolk,VA,340.566384242477,380.99895562979,87572
68,SDF,Louisville International-Standiford Field,Louisville,KY,316.440862716813,354.009214625999,84451
69,GEG,Spokane International,Spokane,WA,298.142858913038,333.538843321283,83819
70,ALB,Albany International,Albany,NY,329.48393369995,368.600779303863,81817
71,RNO,Reno/Tahoe International,Reno,NV,285.581851999469,319.486574109882,80897
72,CHS,Charleston AFB/International,Charleston,SC,371.87843803056,416.028425195376,80742
73,TUS,Tucson International,Tucson,AZ,316.650445285661,354.243679163734,80325
74,GRR,Gerald R. Ford International,Grand Rapids,MI,409.712685522263,458.354413455904,80027
