Average Domestic Airline Itinerary Fares By Origin City for 1995 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,306.464471146924,482.688413457102,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,347.623386787433,547.514628436547,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,330.822810269111,521.053343725648,882705
4,SFO,San Francisco International,San Francisco,CA,358.247492262199,564.247832767946,849891
5,DEN,Denver International,Denver,CO,362.472323285681,570.902036357083,845114
6,BOS,Logan International,Boston,MA,365.22415062631,575.236226118738,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,286.324468524892,450.967457757836,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,386.872131994014,609.33228215362,727241
9,LGA,LaGuardia,New York-La Guardia,NY,346.452357635533,545.670231266044,690156
10,EWR,Newark Liberty International,Newark,NJ,376.040348614577,592.271980465909,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,366.604031108176,577.409568816701,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,198.869088505917,313.223273344992,624904
13,LAS,McCarran International,Las Vegas,NV,137.443780630105,216.477036191532,602399
14,MCO,Orlando International,Orlando,FL,292.979632228777,461.449489810373,600371
15,PHL,Philadelphia International,Philadelphia,PA,373.740508278541,588.649680370725,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,423.241849707345,666.615403016638,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,331.577955186077,522.24271390137,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,313.840128278924,494.305238813482,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,278.246031150591,438.24373776243,489506
20,SAN,San Diego International,San Diego,CA,248.8873568495,392.003167471972,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,290.894756456088,458.165763722293,471064
22,PDX,Portland International,Portland,OR,266.946925566343,420.447393124065,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,354.437728481047,558.247369391919,418532
24,TPA,Tampa International,Tampa,FL,306.194634332205,482.263414423768,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,147.094784526481,231.677583718546,379283
26,MIA,Miami International,Miami,FL,296.091273527255,466.350394623218,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,434.085780316857,683.694836864078,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,155.258973002499,244.536363621828,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,233.312513884379,367.472440590181,320755
30,AUS,Austin - Bergstrom International,Austin,TX,222.503233740776,350.447582003465,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,75.0153995061238,118.150936181775,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,243.501916640177,383.520978392507,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,349.799057586079,550.94135872627,283778
