Average Domestic Airline Itinerary Fares By Origin City for 1993 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,333.837041688761,554.64631672871,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,406.555196758935,675.462319245837,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,407.063707686431,676.307173703942,882705
4,SFO,San Francisco International,San Francisco,CA,359.791426904942,597.76766746406,849891
5,DEN,Denver International,Denver,CO,401.454926390132,666.988585594031,845114
6,BOS,Logan International,Boston,MA,368.917424294886,612.929858014286,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,344.955728444691,573.119217832915,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,419.713752204146,697.32431596806,727241
9,LGA,LaGuardia,New York-La Guardia,NY,343.675374120195,570.992000893186,690156
10,EWR,Newark Liberty International,Newark,NJ,381.876584982399,634.460574638373,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,401.344229435626,666.804670538411,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,204.130536836299,339.148255733897,624904
13,LAS,McCarran International,Las Vegas,NV,146.748887684744,243.812758544219,602399
14,MCO,Orlando International,Orlando,FL,356.999878591049,593.129710026987,600371
15,PHL,Philadelphia International,Philadelphia,PA,427.48729456999,710.23949943404,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,421.854412404715,700.880869457772,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,332.247663909581,552.005679468526,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,341.096283543883,566.707026759025,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,363.254609648339,603.521497365819,489506
20,SAN,San Diego International,San Diego,CA,254.28287695681,422.472774135006,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,316.571058799723,525.960123711718,471064
22,PDX,Portland International,Portland,OR,338.30246092107,562.065290720694,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,392.444534704813,652.018465635909,418532
24,TPA,Tampa International,Tampa,FL,349.599065459264,580.833789467731,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,142.966601784579,237.528761619464,379283
26,MIA,Miami International,Miami,FL,329.873661140159,548.061444025681,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,414.414728833145,688.520368448884,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,193.472023197082,321.439899279834,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,348.156803026417,578.43757381087,320755
30,AUS,Austin - Bergstrom International,Austin,TX,223.23504015913,370.889018674213,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,68.6649309500366,114.081861159601,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,264.58740275231,439.593005159095,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,411.94840790004,684.422752994057,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,328.460932205887,545.714296159865,282736
35,MCI,Kansas City International,Kansas City,MO,249.722712912052,414.896388428048,280759
36,SMF,Sacramento International,Sacramento,CA,251.999560109093,418.679206851087,279633
37,BNA,Nashville International,Nashville,TN,324.266848984889,538.746127502449,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,379.375357881038,630.304965086917,252982
39,HNL,Honolulu International,Honolulu,HI,118.683156651528,197.183558066267,243804
40,IND,Indianapolis International,Indianapolis,IN,307.635052270662,511.113589359102,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,502.199117885629,834.367838843238,237594
42,HOU,William P Hobby,Houston-Hobby,TX,134.600576008124,223.629209433478,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,325.643516361189,541.033361674435,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,234.307279439214,389.28475062646,220020
45,PIT,Pittsburgh International,Pittsburgh,PA,387.558664253314,643.900942079419,219814
46,CMH,Port Columbus International,Columbus,OH,294.680421100413,489.590398203291,200376
47,MKE,General Mitchell International,Milwaukee,WI,350.680703200919,582.63085304824,196680
48,SAT,San Antonio International,San Antonio,TX,204.780938109018,340.228850830488,194783
49,BDL,Bradley International,Hartford,CT,425.245337258637,706.514648055311,187633
50,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,439.770512431607,730.647185501643,167274
51,SJU,Luis Munoz Marin International,San Juan,PR,288.556093194026,479.415266352934,166585
52,RSW,Southwest Florida International,Fort Myers,FL,333.028961300003,553.303749082597,152799
53,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,352.792249105717,586.139035222319,139969
54,BUF,Buffalo Niagara International,Buffalo,NY,330.790324389267,549.584414311502,135260
55,JAX,Jacksonville International,Jacksonville,FL,373.576159205574,620.670012149839,135131
56,BUR,Bob Hope,Burbank,CA,157.444689592209,261.583066783311,125252
57,ONT,Ontario International,Ontario,CA,245.12880761523,407.263944049218,124015
58,OMA,Eppley Airfield,Omaha,NE,364.928697374938,606.302874131986,120853
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,178.06919514015,295.849204473271,114670
60,PVD,Theodore Francis Green State,Providence,RI,411.811309183089,684.194973302504,109047
61,MEM,Memphis International,Memphis,TN,387.269342615439,643.420254915449,106363
62,RIC,Richmond International,Richmond,VA,418.066231676797,694.587078699222,101520
63,OKC,Will Rogers World,Oklahoma City,OK,219.578191980674,364.813427533229,95696
64,ANC,Ted Stevens Anchorage International,Anchorage,AK,400.922050348802,666.103250245678,92654
65,BOI,Boise Air Terminal,Boise,ID,396.887539671588,659.400199932269,87846
66,ORF,Norfolk International,Norfolk,VA,345.950072186992,574.771248690364,87572
67,SDF,Louisville International-Standiford Field,Louisville,KY,347.583179755464,577.48453986109,84451
68,GEG,Spokane International,Spokane,WA,338.352065289807,562.147704823917,83819
69,ALB,Albany International,Albany,NY,409.138530444256,679.754343001487,81817
70,RNO,Reno/Tahoe International,Reno,NV,172.101168568274,285.93375608718,80897
71,CHS,Charleston AFB/International,Charleston,SC,377.685292228645,627.497042142274,80742
72,TUS,Tucson International,Tucson,AZ,339.37529227535,563.847723119785,80325
73,GRR,Gerald R. Ford International,Grand Rapids,MI,373.636895532867,620.770921204313,80027
74,LGB,Long Beach Airport,Long Beach,CA,257.888434108527,428.463148911389,76483
75,ELP,El Paso International,El Paso,TX,150.472141995394,249.998678714131,75930
76,TUL,Tulsa International,Tulsa,OK,215.433333739327,357.927042651264,73392
77,DSM,Des Moines International,Des Moines,IA,375.304838605343,623.542089068077,73146
78,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,310.530822043544,515.924703280129,71115
79,ROC,Greater Rochester International,Rochester,NY,401.874819881071,667.686208533023,71096
80,PIE,St Pete Clearwater International,St. Petersburg,FL,199.868969624777,332.067967263193,69062
81,OGG,Kahului Airport,Kahului,HI,53.8209679981242,89.4196806679238,67841
82,MHT,Manchester-Boston Regional,Manchester,NH,451.667117726658,750.412542500664,61121
83,DAY,James M Cox/Dayton International,Dayton,OH,376.532597915191,625.581923160757,58412
84,SYR,Syracuse Hancock International,Syracuse,NY,380.590593353135,632.323991720831,57879
85,GSP,Greenville-Spartanburg International,Greer,SC,436.645516819104,725.455229278032,51941
86,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,234.321584904344,389.308518131419,51596
87,MSN,Dane County Regional-Truax Field,Madison,WI,370.218633820271,615.091724375478,51374
88,HPN,Westchester County,White Plains,NY,488.444027883545,811.514742711861,48044
89,PWM,Portland International Jetport,Portland,ME,392.267657142857,651.72459624456,47337
90,TYS,McGhee Tyson,Knoxville,TN,421.698206262879,700.621344149312,46608
91,GSO,Piedmont Triad International,Greensboro/High Point,NC,374.123374585239,621.579171281053,44266
92,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,341.832,567.929366917798,44248
93,SAV,Savannah/Hilton Head International,Savannah,GA,392.684076433121,652.416447048148,43637
94,CAK,Akron-Canton Regional,Akron,OH,373.312054955181,620.231221867696,42607
95,ISP,Long Island MacArthur,Islip,NY,335.051360760678,556.663820829409,38122
96,PNS,Pensacola International,Pensacola,FL,387.312914011734,643.492645667379,37574
97,KOA,Kona International Airport at Keahole,Kona,HI,52.9499358732554,87.972523224379,37509
98,FAT,Fresno Yosemite International,Fresno,CA,390.476792958812,648.749203764393,37389
99,LIH,Lihue Airport,Lihue,HI,49.9950744816229,83.0632328142369,35692
100,LEX,Blue Grass,Lexington,KY,407.822242807884,677.567425439626,35528
101,COS,City of Colorado Springs Municipal,Colorado Springs,CO,358.223727290236,595.163046920351,35024
102,MYR,Myrtle Beach International,Myrtle Beach,SC,369.535304125904,613.95642106649,33827
103,MDT,Harrisburg International,Harrisburg,PA,414.260205808679,688.263639519295,33573
104,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,371.264057604573,616.82862106151,32905
105,BTV,Burlington International,Burlington,VT,403.556959064327,670.480962217332,32753
106,FSD,Joe Foss Field,Sioux Falls,SD,345.971889513566,574.807496614694,31003
107,CAE,Columbia Metropolitan,Columbia,SC,408.928924679417,679.406098046868,30607
108,ACY,Atlantic City International,Atlantic City,NJ,110.946958485863,184.330419312211,30531
109,PSP,Palm Springs International,Palm Springs,CA,427.10135358204,709.59828614519,30372
110,BLI,Bellingham International,Bellingham,WA,281.965664093692,468.46574077701,29414
111,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,497.842645492399,827.129872215531,28142
112,EUG,Mahlon Sweet Field,Eugene,OR,389.292938665677,646.782314710053,27794
113,FNT,Bishop International,Flint,MI,342.530161534579,569.089312266213,26572
114,SGF,Springfield-Branson National,Springfield,MO,340.761628760088,566.151021822399,26295
115,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,424.851175742574,705.859776948215,26041
116,ITO,Hilo International,Hilo,HI,47.2884352151704,78.566345673562,25914
117,CHA,Lovell Field,Chattanooga,TN,423.254883533597,703.207651858522,24855
118,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,350.006303222575,581.510385822379,24663
119,MAF,Midland International Air and Space Port,Midland/Odessa,TX,125.635997468209,208.735204732751,24348
