Average Domestic Airline Itinerary Fares By Origin City for 2002 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,342.597577653807,457.127860567358,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,338.226545896883,451.295594007861,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,305.633254330693,407.80637337608,882705
4,SFO,San Francisco International,San Francisco,CA,418.971975616741,559.034200308601,849891
5,DEN,Denver International,Denver,CO,366.378770584172,488.85910023474,845114
6,BOS,Logan International,Boston,MA,355.467714439018,474.30048080047,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,311.931411976362,416.210003517884,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,386.033168660208,515.083958579525,727241
9,LGA,LaGuardia,New York-La Guardia,NY,314.235011138539,419.283695293005,690156
10,EWR,Newark Liberty International,Newark,NJ,399.039149615882,532.43783565467,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,334.843613552675,446.781748242978,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,248.329572499707,331.34608531035,624904
13,LAS,McCarran International,Las Vegas,NV,221.287470018808,295.263814860593,602399
14,MCO,Orlando International,Orlando,FL,267.784381880527,357.304632509965,600371
15,PHL,Philadelphia International,Philadelphia,PA,369.446816867903,492.952793609363,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,401.595986987938,535.849423108706,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,344.491649420231,459.655120042675,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,327.571460916442,437.078516833445,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,262.190159447286,349.840262942736,489506
20,SAN,San Diego International,San Diego,CA,292.07318783022,389.713180099692,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,243.597031947784,325.031457657802,471064
22,PDX,Portland International,Portland,OR,294.377068453041,392.787247427679,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,376.499193074114,502.362777384319,418532
24,TPA,Tampa International,Tampa,FL,259.826588222785,346.686550460138,392724
