Average Domestic Airline Itinerary Fares By Origin City for 1994 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,316.359800372439,512.25244955049,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,344.46000534313,557.752537779655,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,327.107558732496,529.655310282587,882705
4,SFO,San Francisco International,San Francisco,CA,362.289909758093,586.622868969217,849891
5,DEN,Denver International,Denver,CO,348.216476350291,563.835047228765,845114
6,BOS,Logan International,Boston,MA,345.869326434782,560.034522344547,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,312.241375897055,505.583862001375,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,399.903773360764,647.527553271214,727241
9,LGA,LaGuardia,New York-La Guardia,NY,308.015145875111,498.740714804555,690156
10,EWR,Newark Liberty International,Newark,NJ,330.485583561149,535.125036496483,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,366.674520677393,593.722467847118,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,207.630584914313,336.197189398731,624904
13,LAS,McCarran International,Las Vegas,NV,144.16371618463,233.431101754836,602399
14,MCO,Orlando International,Orlando,FL,293.329795362336,474.962071741119,600371
15,PHL,Philadelphia International,Philadelphia,PA,371.264554257521,601.154688825167,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,446.64102302063,723.204901010509,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,313.109772936484,506.989977791389,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,319.252468638406,516.936282335925,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,274.610729881472,444.65200347524,489506
20,SAN,San Diego International,San Diego,CA,251.954199230454,407.966358489257,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,255.423628498475,413.584087540147,471064
22,PDX,Portland International,Portland,OR,302.408659476282,489.66264487345,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,349.211252209084,565.445796666021,418532
24,TPA,Tampa International,Tampa,FL,280.119328743095,453.571573082805,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,148.806836911999,240.949281888195,379283
26,MIA,Miami International,Miami,FL,294.731517532544,477.231752068495,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,345.497271636496,559.432088085944,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,166.382837038494,269.408489118371,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,273.066473157633,442.151529999816,320755
30,AUS,Austin - Bergstrom International,Austin,TX,225.955228609607,365.868606592078,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,70.2936534556254,113.82007488975,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,248.846885674801,402.934970245457,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,354.51562804534,574.034686633266,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,253.056639785696,409.751439508532,282736
35,MCI,Kansas City International,Kansas City,MO,237.923649629423,385.247974569408,280759
36,SMF,Sacramento International,Sacramento,CA,232.695898190277,376.783155470424,279633
37,BNA,Nashville International,Nashville,TN,301.67044517553,488.46732206882,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,336.367301541337,544.648763718998,252982
39,HNL,Honolulu International,Honolulu,HI,123.953500462951,200.706550477505,243804
40,IND,Indianapolis International,Indianapolis,IN,267.546871349703,433.214144329049,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,470.804579834626,762.330735434636,237594
42,HOU,William P Hobby,Houston-Hobby,TX,128.069301922243,207.370890816903,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,265.785330216248,430.361842110075,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,214.998227012728,348.126937451047,220020
45,PIT,Pittsburgh International,Pittsburgh,PA,376.069426241947,608.934777954384,219814
46,CMH,Port Columbus International,Columbus,OH,282.440975933664,457.330803740305,200376
47,MKE,General Mitchell International,Milwaukee,WI,313.96808011519,508.379755994061,196680
48,SAT,San Antonio International,San Antonio,TX,204.477594823212,331.091841324566,194783
49,BDL,Bradley International,Hartford,CT,403.736343971888,653.733283839106,187633
50,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,398.221361260984,644.803377449093,167274
51,SJU,Luis Munoz Marin International,San Juan,PR,273.173994320387,442.32562917087,166585
52,RSW,Southwest Florida International,Fort Myers,FL,283.675196246108,459.329263650794,152799
53,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,307.982774922025,498.688299485059,139969
54,BUF,Buffalo Niagara International,Buffalo,NY,282.833344128506,457.96612962146,135260
55,JAX,Jacksonville International,Jacksonville,FL,282.47126184566,457.379842943733,135131
56,BUR,Bob Hope,Burbank,CA,147.73361168729,239.211506577837,125252
57,ONT,Ontario International,Ontario,CA,231.959582368062,375.590906698207,124015
58,OMA,Eppley Airfield,Omaha,NE,328.969855033193,532.670756115775,120853
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,177.346554837207,287.161033189897,114670
60,PVD,Theodore Francis Green State,Providence,RI,352.769065291645,571.206637532777,109047
61,MEM,Memphis International,Memphis,TN,359.63167883976,582.318639108837,106363
62,RIC,Richmond International,Richmond,VA,359.328834288233,581.828270663888,101520
63,OKC,Will Rogers World,Oklahoma City,OK,220.080740538573,356.356586099273,95696
64,ANC,Ted Stevens Anchorage International,Anchorage,AK,366.683466895821,593.73695363924,92654
65,BOI,Boise Air Terminal,Boise,ID,302.131977149227,489.214638522408,87846
66,ORF,Norfolk International,Norfolk,VA,275.032069430847,445.334240017321,87572
67,SDF,Louisville International-Standiford Field,Louisville,KY,261.415269838194,423.285803590939,84451
68,GEG,Spokane International,Spokane,WA,248.162692412082,401.827118759961,83819
69,ALB,Albany International,Albany,NY,363.850905174199,589.150445875942,81817
70,RNO,Reno/Tahoe International,Reno,NV,166.890208112617,270.230028628905,80897
71,CHS,Charleston AFB/International,Charleston,SC,282.201355674511,456.942808601327,80742
72,TUS,Tucson International,Tucson,AZ,271.908439226102,440.276431718079,80325
73,GRR,Gerald R. Ford International,Grand Rapids,MI,374.450131368812,606.312802076502,80027
74,LGB,Long Beach Airport,Long Beach,CA,223.108954005262,361.259894813739,76483
75,ELP,El Paso International,El Paso,TX,151.460878379559,245.246728154647,75930
76,TUL,Tulsa International,Tulsa,OK,211.063619034254,341.755987119743,73392
77,DSM,Des Moines International,Des Moines,IA,391.216729170064,633.461418254057,73146
78,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,299.986804194016,485.741156431059,71115
79,ROC,Greater Rochester International,Rochester,NY,342.902454563745,555.23053845768,71096
80,PIE,St Pete Clearwater International,St. Petersburg,FL,158.520740486802,256.678116256631,69062
81,OGG,Kahului Airport,Kahului,HI,58.8435614082578,95.2799895440847,67841
82,MHT,Manchester-Boston Regional,Manchester,NH,409.303183537068,662.747157283712,61121
83,DAY,James M Cox/Dayton International,Dayton,OH,301.990098576762,488.984907544583,58412
84,SYR,Syracuse Hancock International,Syracuse,NY,370.691210390774,600.226325613943,57879
85,GSP,Greenville-Spartanburg International,Greer,SC,335.422332811452,543.118662403779,51941
86,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,225.864049333898,365.720968341974,51596
87,MSN,Dane County Regional-Truax Field,Madison,WI,388.332820043283,628.79176834046,51374
88,HPN,Westchester County,White Plains,NY,453.758486486487,734.729557716825,48044
89,PWM,Portland International Jetport,Portland,ME,399.176511018515,646.349963969904,47337
