Average Domestic Airline Itinerary Fares By Origin City for 2016 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,355.904076778002,355.904076778002,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,317.981457941457,317.981457941457,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,350.963248197303,350.963248197303,882705
4,SFO,San Francisco International,San Francisco,CA,395.742063394012,395.742063394012,849891
5,DEN,Denver International,Denver,CO,311.95453749435,311.95453749435,845114
6,BOS,Logan International,Boston,MA,349.343589398074,349.343589398074,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,332.40133362843,332.40133362843,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,348.993119199825,348.993119199825,727241
9,LGA,LaGuardia,New York-La Guardia,NY,329.204436388295,329.204436388295,690156
10,EWR,Newark Liberty International,Newark,NJ,429.753957856546,429.753957856546,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,396.118922193464,396.118922193464,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,327.139397411442,327.139397411442,624904
13,LAS,McCarran International,Las Vegas,NV,227.519154248264,227.519154248264,602399
14,MCO,Orlando International,Orlando,FL,253.871979159553,253.871979159553,600371
15,PHL,Philadelphia International,Philadelphia,PA,366.172502428005,366.172502428005,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,386.386406896119,386.386406896119,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,338.312355387436,338.312355387436,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,376.530788212098,376.530788212098,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,317.362465424326,317.362465424326,489506
20,SAN,San Diego International,San Diego,CA,353.266614459647,353.266614459647,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,241.767885043221,241.767885043221,471064
22,PDX,Portland International,Portland,OR,324.045306944026,324.045306944026,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,431.393673602019,431.393673602019,418532
24,TPA,Tampa International,Tampa,FL,312.208319328587,312.208319328587,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,279.81181070599,279.81181070599,379283
26,MIA,Miami International,Miami,FL,303.241898662323,303.241898662323,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,415.905440007467,415.905440007467,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,303.944291296935,303.944291296935,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,367.964505619554,367.964505619554,320755
30,AUS,Austin - Bergstrom International,Austin,TX,372.448865269993,372.448865269993,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,277.646499409441,277.646499409441,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,362.689795640559,362.689795640559,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,354.866409658254,354.866409658254,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,322.669228538283,322.669228538283,282736
35,MCI,Kansas City International,Kansas City,MO,354.336544865881,354.336544865881,280759
36,SMF,Sacramento International,Sacramento,CA,362.013467652244,362.013467652244,279633
37,BNA,Nashville International,Nashville,TN,356.94851755551,356.94851755551,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,357.651386264635,357.651386264635,252982
39,HNL,Honolulu International,Honolulu,HI,388.258084362849,388.258084362849,243804
40,IND,Indianapolis International,Indianapolis,IN,350.894855677255,350.894855677255,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,443.433121206764,443.433121206764,237594
42,HOU,William P Hobby,Houston-Hobby,TX,340.279925407203,340.279925407203,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,336.785614360284,336.785614360284,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,316.733783292428,316.733783292428,220020
45,PIT,Pittsburgh International,Pittsburgh,PA,374.895293293421,374.895293293421,219814
46,CMH,Port Columbus International,Columbus,OH,368.890221383798,368.890221383798,200376
47,MKE,General Mitchell International,Milwaukee,WI,336.829082774049,336.829082774049,196680
48,SAT,San Antonio International,San Antonio,TX,385.747981086645,385.747981086645,194783
49,BDL,Bradley International,Hartford,CT,385.168888201969,385.168888201969,187633
50,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,382.640876645504,382.640876645504,167274
51,SJU,Luis Munoz Marin International,San Juan,PR,285.258078458445,285.258078458445,166585
52,RSW,Southwest Florida International,Fort Myers,FL,304.629382391246,304.629382391246,152799
53,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,316.997006480006,316.997006480006,139969
54,BUF,Buffalo Niagara International,Buffalo,NY,318.513640396274,318.513640396274,135260
55,JAX,Jacksonville International,Jacksonville,FL,374.331145333047,374.331145333047,135131
56,BUR,Bob Hope,Burbank,CA,283.904831858972,283.904831858972,125252
57,ONT,Ontario International,Ontario,CA,343.595798895295,343.595798895295,124015
58,OMA,Eppley Airfield,Omaha,NE,380.258694446973,380.258694446973,120853
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,376.856832650214,376.856832650214,114670
60,PVD,Theodore Francis Green State,Providence,RI,352.639797518501,352.639797518501,109047
61,MEM,Memphis International,Memphis,TN,387.505833795587,387.505833795587,106363
62,RIC,Richmond International,Richmond,VA,417.550561465721,417.550561465721,101520
63,OKC,Will Rogers World,Oklahoma City,OK,409.49356294934,409.49356294934,95696
64,ANC,Ted Stevens Anchorage International,Anchorage,AK,430.588155934984,430.588155934984,92654
65,SFB,Orlando Sanford International,Sanford,FL,96.5493307281139,96.5493307281139,89052
66,BOI,Boise Air Terminal,Boise,ID,352.720135236664,352.720135236664,87846
67,ORF,Norfolk International,Norfolk,VA,429.261259306628,429.261259306628,87572
68,SDF,Louisville International-Standiford Field,Louisville,KY,422.294135060568,422.294135060568,84451
69,GEG,Spokane International,Spokane,WA,359.320583638554,359.320583638554,83819
70,ALB,Albany International,Albany,NY,397.565542613393,397.565542613393,81817
71,RNO,Reno/Tahoe International,Reno,NV,353.197176656736,353.197176656736,80897
72,CHS,Charleston AFB/International,Charleston,SC,369.475663223601,369.475663223601,80742
73,TUS,Tucson International,Tucson,AZ,384.209075630252,384.209075630252,80325
74,GRR,Gerald R. Ford International,Grand Rapids,MI,400.104502230497,400.104502230497,80027
75,LGB,Long Beach Airport,Long Beach,CA,220.797039865068,220.797039865068,76483
76,ELP,El Paso International,El Paso,TX,397.617634663506,397.617634663506,75930
77,TUL,Tulsa International,Tulsa,OK,411.348593852191,411.348593852191,73392
78,DSM,Des Moines International,Des Moines,IA,373.348166680338,373.348166680338,73146
79,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,446.842621106658,446.842621106658,71115
80,ROC,Greater Rochester International,Rochester,NY,367.695538426916,367.695538426916,71096
81,PIE,St Pete Clearwater International,St. Petersburg,FL,96.1823434015812,96.1823434015812,69062
82,OGG,Kahului Airport,Kahului,HI,316.595465868722,316.595465868722,67841
83,MHT,Manchester-Boston Regional,Manchester,NH,373.895911388884,373.895911388884,61121
84,DAY,James M Cox/Dayton International,Dayton,OH,409.596641101144,409.596641101144,58412
85,SYR,Syracuse Hancock International,Syracuse,NY,406.882271635654,406.882271635654,57879
86,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,109.098094170404,109.098094170404,55304
87,GSP,Greenville-Spartanburg International,Greer,SC,416.371998998864,416.371998998864,51941
88,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,433.776765640747,433.776765640747,51596
89,MSN,Dane County Regional-Truax Field,Madison,WI,488.56688208043,488.56688208043,51374
90,HPN,Westchester County,White Plains,NY,388.298892681708,388.298892681708,48044
91,PWM,Portland International Jetport,Portland,ME,405.013541204555,405.013541204555,47337
92,TYS,McGhee Tyson,Knoxville,TN,445.123369378648,445.123369378648,46608
93,GSO,Piedmont Triad International,Greensboro/High Point,NC,437.872746577509,437.872746577509,44266
94,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,384.473535527029,384.473535527029,44248
95,SAV,Savannah/Hilton Head International,Savannah,GA,403.280404244105,403.280404244105,43637
