Average Domestic Airline Itinerary Fares By Origin City for 1997 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,301.214935993624,450.381538856885,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,368.130823486456,550.435277173612,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,327.787635977279,490.113478014358,882705
4,SFO,San Francisco International,San Francisco,CA,367.20601370302,549.052486336765,849891
5,DEN,Denver International,Denver,CO,337.639979909329,504.844865111172,845114
6,BOS,Logan International,Boston,MA,385.654670626188,576.63722235754,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,278.948803520482,417.088850449636,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,403.219100526939,602.89984755489,727241
9,LGA,LaGuardia,New York-La Guardia,NY,368.943553525166,551.650484528128,690156
10,EWR,Newark Liberty International,Newark,NJ,394.671093745978,590.118726872847,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,375.938870067041,562.109997163276,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,202.535717875038,302.834744861306,624904
13,LAS,McCarran International,Las Vegas,NV,131.748258074596,196.992167794118,602399
14,MCO,Orlando International,Orlando,FL,230.011900773238,343.917586569615,600371
15,PHL,Philadelphia International,Philadelphia,PA,394.06450440273,589.211744485121,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,424.60110692356,634.870576074679,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,352.833793934496,527.562906363631,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,312.506868850584,467.265423050775,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,249.617111326139,373.231620647312,489506
20,SAN,San Diego International,San Diego,CA,230.802880843676,345.100273012947,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,230.914595518295,345.267310636436,471064
22,PDX,Portland International,Portland,OR,256.383087999767,383.348220530005,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,355.091427271014,530.938556953206,418532
24,TPA,Tampa International,Tampa,FL,244.66971701378,365.834195096744,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,136.694049619252,204.387196859989,379283
26,MIA,Miami International,Miami,FL,303.543079507469,453.8626174262,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,433.695395656707,648.468506538958,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,135.214983381315,202.175672633558,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,217.294853763514,324.902848196627,320755
30,AUS,Austin - Bergstrom International,Austin,TX,223.530655237542,334.226721379125,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,76.1934890870519,113.925761193423,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,256.548678408192,383.595814039007,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,368.648059787295,551.208657419038,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,225.834283906121,337.671144947588,282736
35,MCI,Kansas City International,Kansas City,MO,205.193180766581,306.808227194112,280759
36,SMF,Sacramento International,Sacramento,CA,211.963912920308,316.931937549059,279633
37,BNA,Nashville International,Nashville,TN,222.299862462643,332.386419728264,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,302.503774370582,452.308631249025,252982
39,HNL,Honolulu International,Honolulu,HI,117.611103515959,175.854061198662,243804
40,IND,Indianapolis International,Indianapolis,IN,262.950259662439,393.167563882335,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,422.857354535181,632.263288751849,237594
42,HOU,William P Hobby,Houston-Hobby,TX,126.341704046433,188.908199065661,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,294.447054148632,440.262090330556,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,192.804604452064,288.284623620562,220020
45,PIT,Pittsburgh International,Pittsburgh,PA,407.324029991344,609.03760577388,219814
46,CMH,Port Columbus International,Columbus,OH,260.855758135241,390.035830663842,200376
47,MKE,General Mitchell International,Milwaukee,WI,340.610081800502,509.285810431149,196680
48,SAT,San Antonio International,San Antonio,TX,196.360654562697,293.601688379638,194783
49,BDL,Bradley International,Hartford,CT,399.517569609468,597.36525749468,187633
50,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,432.762369369781,647.073430250614,167274
