Average Domestic Airline Itinerary Fares By Origin City for 2011 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,394.884364683259,421.336483694906,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,378.775283015262,404.148302970172,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,368.739143284385,393.439872345246,882705
4,SFO,San Francisco International,San Francisco,CA,406.510530795186,433.74145179837,849891
5,DEN,Denver International,Denver,CO,319.567298441133,340.974153122188,845114
6,BOS,Logan International,Boston,MA,351.649305900571,375.205238021373,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,363.486527777543,387.835399882455,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,417.414256264527,445.375585127785,727241
9,LGA,LaGuardia,New York-La Guardia,NY,351.268543576443,374.798969571367,690156
10,EWR,Newark Liberty International,Newark,NJ,469.86260575161,501.337292211869,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,390.964635823081,417.154183956831,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,322.21527555869,343.799510283419,624904
13,LAS,McCarran International,Las Vegas,NV,273.497879787475,291.818682312473,602399
14,MCO,Orlando International,Orlando,FL,271.096972235676,289.256945166048,600371
15,PHL,Philadelphia International,Philadelphia,PA,380.426921717109,405.910579994051,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,412.680869085298,440.325122540687,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,379.014209164716,404.403234065643,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,378.54979460811,403.907709771047,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,319.297280063641,340.686047023593,489506
20,SAN,San Diego International,San Diego,CA,350.42263927732,373.896400680798,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,265.276922523375,283.047027782569,471064
22,PDX,Portland International,Portland,OR,369.266543350225,394.002601359396,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,477.465038644575,509.448989278472,418532
24,TPA,Tampa International,Tampa,FL,308.905344968156,329.597987369902,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,295.986537027666,315.813787239461,379283
26,MIA,Miami International,Miami,FL,355.101133784443,378.888293500354,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,394.111604413237,420.51195853253,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,295.476990867823,315.270108110913,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,372.211277592674,397.1445945151,320755
30,AUS,Austin - Bergstrom International,Austin,TX,367.755662638072,392.390511280692,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,278.060275376721,296.686699095918,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,337.865138131269,360.497710203104,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,338.562275924472,361.241547165792,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,325.61313559888,347.424982774763,282736
35,MCI,Kansas City International,Kansas City,MO,329.626854871968,351.707569061556,280759
36,SMF,Sacramento International,Sacramento,CA,342.354213261931,365.287495010392,279633
37,BNA,Nashville International,Nashville,TN,356.281363465784,380.147583227582,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,357.612609468502,381.568005406536,252982
39,HNL,Honolulu International,Honolulu,HI,355.557619567958,379.375357897136,243804
40,IND,Indianapolis International,Indianapolis,IN,357.020607220382,380.936346703709,237835
