Average Domestic Airline Itinerary Fares By Origin City for 2003 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,338.076035791054,441.081792805126,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,339.96413914877,443.545167684903,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,304.491217544386,397.264277586655,882705
4,SFO,San Francisco International,San Francisco,CA,428.670306996079,559.278527653504,849891
5,DEN,Denver International,Denver,CO,341.964815319078,446.155414311694,845114
6,BOS,Logan International,Boston,MA,362.089232331332,472.41138336952,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,320.809904410823,418.554978190237,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,393.586757148883,513.505643963714,727241
9,LGA,LaGuardia,New York-La Guardia,NY,315.190771401978,411.223795263437,690156
10,EWR,Newark Liberty International,Newark,NJ,407.352856803129,531.466029417304,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,302.717785871095,394.95051281465,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,251.05959340297,327.552987599359,624904
13,LAS,McCarran International,Las Vegas,NV,228.63168681626,298.291696650462,602399
14,MCO,Orlando International,Orlando,FL,263.155792734825,343.334683793644,600371
15,PHL,Philadelphia International,Philadelphia,PA,378.742066101778,494.138039497534,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,398.716500016446,520.198328274684,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,354.409558031172,462.391848856972,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,340.829413446712,444.674075676597,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,263.878273507379,344.277291611675,489506
20,SAN,San Diego International,San Diego,CA,292.564892346348,381.704213154349,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,241.40204570171,314.952956827567,471064
22,PDX,Portland International,Portland,OR,302.275612087347,394.373616540973,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,372.635263881337,486.170603221266,418532
24,TPA,Tampa International,Tampa,FL,260.755351618748,340.20287095005,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,218.287805898956,284.796219134904,379283
26,MIA,Miami International,Miami,FL,338.688234431782,441.880517486611,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,461.15902130736,601.665975556526,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,230.384977704155,300.579184097871,321404
29,SLC,Salt Lake City International,Salt Lake City,UT,292.28298953202,381.33641956481,320755
30,AUS,Austin - Bergstrom International,Austin,TX,325.003886387712,424.02679190525,309545
31,DAL,Dallas Love Field,Dallas-Love Field,TX,172.074732477789,224.50284392436,294636
32,STL,Lambert-St. Louis International,St. Louis,MO,315.295237245302,411.360089991788,293845
33,RDU,Raleigh-Durham International,Raleigh/Durham,NC,295.749094138544,385.858584616581,283778
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,262.865707919789,342.956215293262,282736
35,MCI,Kansas City International,Kansas City,MO,265.515527315817,346.41338754469,280759
36,SMF,Sacramento International,Sacramento,CA,257.68946988499,336.202869564296,279633
37,BNA,Nashville International,Nashville,TN,284.416381606275,371.072996074695,267295
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,305.250719638512,398.25518646469,252982
39,HNL,Honolulu International,Honolulu,HI,205.780947268964,268.478743055983,243804
40,IND,Indianapolis International,Indianapolis,IN,282.187902534346,368.165539052564,237835
41,IAD,Washington Dulles International,Washington-Dulles,DC,437.822386946289,571.219083637867,237594
42,HOU,William P Hobby,Houston-Hobby,TX,229.825418284032,299.849136871567,232194
43,CLE,Cleveland-Hopkins International,Cleveland,OH,339.986604743392,443.574478146763,228742
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,266.81180385578,348.1046164982,220020
45,PIT,Pittsburgh International,Pittsburgh,PA,349.836695128019,456.425715934078,219814
46,CMH,Port Columbus International,Columbus,OH,303.119925170896,395.475176808945,200376
47,MKE,General Mitchell International,Milwaukee,WI,296.153010742091,386.385567427473,196680
48,SAT,San Antonio International,San Antonio,TX,313.293816259862,408.748871617939,194783
49,BDL,Bradley International,Hartford,CT,336.108004135379,438.514136896149,187633
50,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,451.991218953074,589.704906831114,167274
51,SJU,Luis Munoz Marin International,San Juan,PR,314.834407856941,410.758854082476,166585
52,RSW,Southwest Florida International,Fort Myers,FL,280.770665978983,366.316495717665,152799
53,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,266.307740706279,347.446974269438,139969
54,BUF,Buffalo Niagara International,Buffalo,NY,260.872119363584,340.355215750573,135260
55,JAX,Jacksonville International,Jacksonville,FL,286.95708318233,374.387804246552,135131
56,BUR,Bob Hope,Burbank,CA,206.468590325779,269.375898725713,125252
57,ONT,Ontario International,Ontario,CA,247.858980354155,323.377204662413,124015
58,OMA,Eppley Airfield,Omaha,NE,292.885199453719,382.122112142181,120853
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,278.535378123986,363.400155397326,114670
60,PVD,Theodore Francis Green State,Providence,RI,302.000668098306,394.014902007057,109047
61,MEM,Memphis International,Memphis,TN,371.743249236227,485.006807574075,106363
62,RIC,Richmond International,Richmond,VA,415.966802358226,542.70449102455,101520
63,OKC,Will Rogers World,Oklahoma City,OK,305.214031718016,398.207320387141,95696
64,ANC,Ted Stevens Anchorage International,Anchorage,AK,455.073526359485,593.726338499925,92654
65,SFB,Orlando Sanford International,Sanford,FL,102.374280545963,133.565903583466,89052
66,BOI,Boise Air Terminal,Boise,ID,266.072568152419,347.140148819854,87846
67,ORF,Norfolk International,Norfolk,VA,318.472879724448,415.505903634912,87572
68,SDF,Louisville International-Standiford Field,Louisville,KY,294.114452449735,383.725896669603,84451
69,GEG,Spokane International,Spokane,WA,265.180758858395,345.976621090574,83819
70,ALB,Albany International,Albany,NY,324.910121135716,423.904458048145,81817
71,RNO,Reno/Tahoe International,Reno,NV,235.050179777945,306.665790294877,80897
72,CHS,Charleston AFB/International,Charleston,SC,446.845389328949,582.991234414884,80742
73,TUS,Tucson International,Tucson,AZ,292.314192092823,381.377128991099,80325
74,GRR,Gerald R. Ford International,Grand Rapids,MI,341.569812337254,445.640060944577,80027
75,LGB,Long Beach Airport,Long Beach,CA,239.83463393784,312.907982568289,76483
76,ELP,El Paso International,El Paso,TX,267.426136033048,348.906124766876,75930
77,TUL,Tulsa International,Tulsa,OK,304.227418145081,396.920103200813,73392
78,DSM,Des Moines International,Des Moines,IA,336.745086465097,439.34532688422,73146
